CompId,供应商,注册资金,成立日期,所属地区,参保人数,企业类型,投资主体,上市与否
0,重庆瑞润电子有限公司,77508,12,500000,300,2,3,3
1,杭州新安江内燃机配件有限公司,200,18,330100,11,2,3,3
2,太仓一标金属成形技术有限公司,500,15,320500,9,2,3,3
3,泰州忆航机械有限公司,500,6,321200,26,2,3,3
4,华美（台山）五金制品有限公司,10725,18,440700,1233,2,2,3
5,台州市黄岩新兴机械配件有限公司,300,20,331000,154,2,3,3
6,温岭市奥宏冲压件有限公司,50,19,331000,32,2,3,3
7,双亿新大电子（深圳）有限公司,791,20,440300,0,2,2,3
8,江苏文光模具技术有限公司,1500,16,321100,131,2,3,3
9,吉林省格锐特汽车零部件有限公司,200,4,220100,0,2,3,3
10,深圳联腾达科技有限公司,1000,11,440300,0,2,3,3
11,深圳市彩虹奥特姆科技有限公司,3000,16,440300,0,2,3,3
12,深圳市国电赛思科技有限公司,2500,9,440300,0,2,3,3
13,安徽尼威汽车动力系统有限公司,3427,3,340200,23,2,2,3
14,宁波宏协承汽车部件有限公司,22800,14,330200,475,2,2,3
15,芜湖金环汽车零部件有限公司,100,14,340200,2,2,3,3
16,南通爱康金属科技有限公司,10000,13,320600,301,2,3,3
17,江苏兴甬铝业科技有限公司,2600,12,320800,249,2,3,3
18,宁波天宇汽车零部件有限公司,378,16,330200,136,2,3,3
19,南京双环电器股份有限公司,1597,26,320100,60,1,3,2
20,浙江启博机械有限公司,1886,17,331000,98,1,3,2
21,江苏盛安传动股份公司,10920,20,320900,330,1,3,2
22,今皓光电（昆山）有限公司,9009,21,320500,246,2,2,3
23,江阴市科安传动机械有限公司,2000,19,320200,169,2,3,3
24,莱州龙生汽车零部件有限公司,1600,24,370600,40,2,3,3
25,杭州雷迪克节能科技股份有限公司,8800,20,330100,429,1,3,1
26,天津泰威齿轮有限公司,3600,14,120000,77,2,3,3
27,泰州力能车辆配件有限公司,500,5,321200,4,2,3,3
28,江苏东镀汽车部件有限公司,1000,7,320400,3,2,3,3
29,江苏盛翔电子科技有限公司,2000,4,320900,15,2,3,3
30,常州博盟橡塑科技有限公司,388,7,320400,0,2,3,3
31,佛山金光汽车零部件有限公司,3453,16,440600,77,2,2,3
32,东京滤器（苏州）有限公司,12155,17,320500,87,2,2,3
33,河南平和滤清器有限公司,6184,24,410700,476,2,2,3
34,佛山市德展精密科技有限公司,3920,5,440600,677,2,3,3
35,丹阳市博纳车业有限公司,1000,7,321100,35,2,3,3
36,宁波吉烨汽配模具有限公司,908,19,330200,290,2,2,3
37,江苏特龙驱动轴制造有限公司,2020,18,321200,0,2,3,3
38,江苏腾驰科技有限公司,3980,17,320400,36,2,3,3
39,上海艾保实业有限公司,1000,9,310000,7,2,3,3
40,房县诚信汽配有限责任公司,200,20,420300,105,2,3,3
41,浙江英汇汽车部件有限公司,20000,6,330400,365,2,3,3
42,成都川翔工贸有限公司,100,17,510100,56,2,3,3
43,五莲县安旭机械制造有限公司,2368,20,371100,0,2,3,3
44,东莞市奥科兴复合材料制品有限公司,2000,8,441900,5,2,3,3
45,台州益通汽车零部件有限公司,310,20,331000,44,2,3,3
46,苏州爱和特科技有限公司,2574,14,320500,44,2,2,3
47,重庆双英汽车配件制造有限公司,7500,20,500000,470,2,3,3
48,丹阳市好艺汽车部件有限公司,500,6,321100,0,2,3,3
49,南京延锋江森座椅有限公司,4500,13,320100,104,2,3,3
50,山东金鼎不锈钢管业有限公司,1126,18,371400,5,2,3,3
51,沧州瑞青五金制品有限公司,1000,19,130900,107,2,3,3
52,江苏杰众汽车科技有限公司,1000,6,321100,0,2,3,3
53,惠州东风汽车零部件有限公司,3146,19,441300,64,2,2,3
54,重庆大茂伟瑞柯车灯有限公司,10000,6,500000,371,2,2,3
55,江苏东方电热器制造有限公司,1628,15,321100,25,2,3,3
56,重庆滨瑞汽车零部件有限公司,200,6,500000,18,2,3,3
57,上海华美精密电子机械有限公司,400,21,310000,30,2,3,3
58,余姚大器橡塑制品有限公司,50,16,330200,27,2,3,3
59,青岛天工钢珠有限公司,1573,22,370200,37,2,2,3
60,沧州美凯精冲产品有限公司,200,16,130900,144,2,3,3
61,东莞市贝禹电子科技有限公司,1040,14,441900,169,2,3,3
62,山东金麒麟股份有限公司,19605,23,371400,1861,1,3,1
63,常州市日升钢球有限公司,200,16,320400,0,2,3,3
64,沈阳大岛金属过滤网制造有限公司,357,20,210100,0,2,2,3
65,东莞市景博精密五金有限公司,200,5,441900,4,2,3,3
66,上海钢球厂有限公司,6183,29,310000,67,2,3,3
67,浦林成山（山东）轮胎有限公司,112970,16,371000,53826,2,2,3
68,东台市爱畅汽车零部件厂,190,12,320900,0,3,3,3
69,绵阳万欣惠嘉汽车零部件有限公司,342,12,510700,3,2,3,3
70,深圳市恒歌科技有限公司,100,14,440300,0,2,3,3
71,苏州辉龙净化过滤有限公司,1080,18,320500,50,2,3,3
72,承德相一机械有限公司,1000,24,130800,94,2,3,3
73,浙江普礼汽配制造有限公司,4676,22,330400,73,2,2,3
74,安徽鑫达汽车部件有限公司,580,16,340200,30,2,3,3
75,文安县超胜汽车配件有限公司,1000,15,131000,6,2,3,3
76,中山市乾润精密钢球制造有限公司,600,13,442000,27,2,3,3
77,中山市红润泰精密钢球有限公司,30,14,442000,7,2,3,3
78,江苏天龙车辆部件有限公司,500,20,321200,32,2,3,3
79,鲍迪克（无锡）技术有限公司,7954,17,320200,99,2,2,3
