CompId,ProdID
0,23
0,0
0,15
1,9
1,39
2,5
2,2
2,1
3,9
3,11
3,21
3,14
3,12
3,8
4,2
4,13
4,12
4,26
5,22
5,18
5,1
6,13
6,2
7,2
7,15
8,1
9,22
10,26
10,0
11,15
12,25
12,27
12,3
13,2
14,7
14,34
14,30
14,17
14,35
14,10
14,20
15,17
15,36
16,2
16,14
17,17
17,36
18,4
18,5
18,0
19,2
19,31
19,19
19,4
19,20
19,14
19,15
20,38
20,9
21,20
22,15
23,20
24,38
24,9
25,26
25,20
26,15
26,20
27,26
27,12
28,30
28,0
29,2
29,12
30,0
30,22
31,14
31,2
31,19
31,1
31,9
31,8
32,38
32,8
32,5
33,26
34,0
34,15
34,2
34,21
35,15
36,1
36,2
37,13
37,18
37,22
37,38
38,8
39,38
39,5
39,12
40,2
41,36
41,17
41,10
42,26
42,24
42,2
43,2
43,11
43,27
43,21
43,18
44,1
44,3
44,30
45,13
45,26
45,14
45,32
45,2
46,15
46,27
46,37
46,16
46,3
47,30
47,1
47,2
47,23
47,24
48,2
48,1
48,0
48,28
48,32
48,24
48,19
48,17
48,30
48,7
48,20
48,13
48,26
48,10
48,15
49,24
50,2
50,14
50,8
51,2
51,13
51,27
51,10
52,0
52,30
52,26
53,20
54,31
55,4
55,5
55,2
55,16
56,10
56,17
57,2
58,22
58,0
59,1
59,2
59,15
59,0
60,23
60,0
60,1
60,14
60,37
60,2
61,0
61,1
61,12
61,2
62,0
62,39
62,15
62,19
62,37
62,24
62,1
62,13
62,26
62,14
63,2
63,20
64,5
64,8
64,35
65,35
66,6
66,20
66,2
66,0
67,32
67,13
68,29
68,35
69,4
69,37
70,2
71,15
71,35
71,26
71,8
72,32
72,36
72,34
72,13
73,9
74,10
75,32
75,36
76,2
76,0
76,35
77,2
77,20
77,35
77,0
78,3
78,2
78,25
78,4
78,7
78,20
78,18
79,2
79,5
79,1
79,12
80,4
80,37
81,1
81,2
81,15
81,12
82,2
83,13
84,26
85,20
85,27
85,10
86,24
87,28
87,35
87,17
87,30
87,31
87,10
87,15
87,34
88,24
89,22
89,17
90,2
90,8
91,26
92,38
92,8
92,15
92,19
93,2
93,30
93,11
93,22
94,2
95,30
95,26
95,13
95,27
95,10
95,35
95,24
95,28
96,0
96,10
97,10
98,2
98,15
98,10
98,20
98,9
98,27
99,35
99,0
99,39
99,8
99,27
99,10
99,20
99,17
99,21
100,2
100,22
100,12
100,20
101,25
101,20
102,30
102,10
102,14
103,2
104,20
104,37
104,24
104,8
104,11
104,2
104,17
105,34
105,17
105,30
105,10
105,20
105,12
105,24
105,13
105,8
105,7
105,19
106,2
106,32
106,6
107,16
108,12
109,22
109,0
110,25
110,4
110,10
110,27
110,14
110,21
110,39
110,15
110,24
111,18
111,26
111,9
112,25
112,19
112,21
112,39
113,37
113,8
114,3
114,4
114,8
114,23
115,31
115,17
115,28
116,25
117,37
117,16
117,26
117,14
117,9
117,20
118,26
118,23
119,25
120,21
121,0
121,26
121,3
121,38
121,1
121,2
122,0
122,2
122,38
123,20
123,0
124,13
124,22
125,2
125,25
126,21
126,2
126,39
127,5
128,33
128,27
129,2
130,20
130,2
131,20
132,38
132,19
132,18
132,9
133,9
134,1
135,28
135,17
135,20
135,23
136,24
136,22
136,26
136,11
136,5
136,2
136,0
137,2
137,21
138,2
138,18
138,13
138,15
139,6
139,20
139,9
139,26
140,22
140,16
140,33
140,19
141,2
142,32
142,19
143,8
144,32
144,5
144,1
145,17
146,2
146,20
147,10
147,14
147,23
147,2
148,2
149,20
149,0
149,22
150,22
151,2
151,18
151,27
152,6
152,11
152,8
152,27
152,24
152,15
152,2
153,19
153,2
154,38
155,16
155,14
156,22
156,0
157,1
157,0
157,26
158,2
158,5
158,29
159,2
160,24
160,17
160,11
160,20
161,20
162,2
162,25
162,32
163,18
163,2
164,2
164,0
164,38
165,3
165,23
165,19
166,18
166,13
166,20
167,19
168,18
169,19
170,12
170,2
171,25
171,19
171,8
171,32
172,15
172,6
172,17
172,28
173,20
173,9
174,32
174,22
175,36
175,35
175,22
175,39
176,22
176,3
176,10
177,17
177,6
177,28
177,26
178,35
179,2
180,2
181,11
181,23
182,15
182,32
182,10
183,26
184,33
185,36
185,15
185,14
185,20
186,26
186,16
187,20
187,15
188,24
189,2
190,12
190,2
190,20
190,9
191,0
192,5
193,38
193,16
193,27
194,30
194,31
195,6
195,21
195,15
195,37
195,20
195,12
195,3
196,1
196,0
197,0
198,5
198,15
199,10
199,30
200,19
201,2
202,25
202,14
203,2
203,22
203,20
203,38
204,0
204,1
205,34
206,37
206,12
207,2
207,26
208,8
208,18
209,21
209,26
209,20
209,17
209,16
210,25
210,2
211,17
211,30
211,10
212,8
212,21
212,5
212,16
213,12
214,2
214,15
214,14
214,20
214,0
215,22
215,36
215,32
216,5
216,4
216,15
216,26
216,14
217,3
217,20
218,21
218,18
219,2
219,11
219,31
220,40
220,6
221,37
221,17
221,21
221,9
221,2
222,38
222,10
223,21
223,9
224,5
225,2
226,24
227,12
228,3
229,23
229,25
230,9
230,20
230,26
231,2
231,5
231,8
231,18
231,29
231,26
232,16
233,4
233,6
233,5
234,8
235,4
235,6
235,25
235,23
236,22
236,8
236,5
237,37
237,6
238,8
238,6
239,9
239,15
239,12
239,26
239,5
240,22
240,0
241,17
241,8
241,0
242,18
242,21
243,16
243,8
243,20
244,10
244,9
245,15
245,20
245,0
245,2
246,18
246,19
246,38
246,8
246,11
247,4
248,5
248,35
248,12
249,0
249,15
249,12
249,26
250,17
250,26
250,28
251,0
251,23
251,1
251,28
252,2
253,15
254,27
254,22
254,32
254,10
254,18
254,13
254,21
254,9
254,2
255,20
256,4
257,2
257,8
257,5
258,2
258,1
258,27
259,35
259,15
260,9
261,5
261,16
261,2
262,19
262,27
262,22
262,13
262,2
262,9
263,20
263,27
264,2
265,22
265,14
265,15
265,0
266,2
266,15
267,20
268,0
268,11
268,8
268,26
268,30
268,4
269,2
270,15
270,10
270,19
270,37
271,2
271,12
271,37
271,0
271,30
272,8
272,21
272,5
272,20
273,22
274,16
275,15
276,7
276,6
276,3
277,6
278,7
278,25
278,2
279,20
279,22
280,11
281,14
281,0
282,9
282,5
282,10
283,9
283,26
283,13
283,25
283,10
284,38
284,0
284,37
284,30
284,15
284,9
284,2
284,26
284,22
284,27
285,12
285,2
285,30
285,26
285,35
286,13
286,1
286,0
287,0
287,16
287,6
288,0
288,28
288,2
289,0
289,16
290,0
290,2
290,8
290,26
291,0
292,25
292,2
293,5
293,15
294,4
295,8
296,38
297,4
297,37
297,19
297,9
297,5
298,25
298,37
299,8
300,2
301,13
302,0
303,37
303,5
303,4
303,7
304,2
304,15
305,20
305,13
305,15
305,0
305,19
305,30
305,24
306,21
306,19
306,28
307,1
307,2
307,15
307,0
308,2
308,0
309,5
309,37
309,16
310,2
311,14
311,2
312,15
313,15
313,28
313,6
314,32
314,15
314,23
315,19
315,36
315,34
315,23
316,20
317,20
318,35
319,2
320,20
320,2
320,1
320,27
320,35
320,24
321,12
321,2
322,1
322,22
323,24
324,6
324,37
324,20
324,15
324,33
324,9
325,0
325,15
325,2
325,1
326,15
327,0
327,27
328,15
328,10
328,26
328,24
328,21
328,17
329,2
330,32
330,18
330,15
330,10
331,0
331,17
331,7
331,31
332,20
332,14
332,15
333,21
334,23
335,0
335,30
336,36
336,10
336,22
337,26
338,10
338,11
338,22
338,24
338,0
339,21
339,18
339,13
340,18
341,3
341,26
341,12
342,27
343,18
344,27
344,18
344,10
344,20
345,33
345,26
345,23
346,0
347,20
347,2
348,0
348,2
348,1
349,35
349,0
349,2
349,27
349,22
349,8
349,24
350,0
351,2
352,27
353,15
353,19
354,0
354,2
354,1
355,15
355,1
355,14
356,37
356,15
357,11
357,2
358,33
358,15
359,0
360,28
361,2
362,15
362,33
363,23
363,0
363,28
363,17
363,30
363,14
363,21
363,2
364,22
365,9
366,2
366,10
366,30
367,16
367,14
367,8
368,16
368,20
368,9
368,10
368,2
369,38
370,0
371,22
372,22
372,0
372,5
373,8
373,9
373,2
373,5
373,11
373,38
373,17
374,21
374,5
374,35
374,13
374,14
374,36
375,12
375,11
376,15
376,12
376,0
377,4
377,5
377,15
377,6
378,14
378,0
378,2
378,22
379,2
379,1
379,9
380,14
380,20
381,2
382,20
382,21
382,37
383,27
383,22
383,2
383,0
384,0
385,20
386,1
387,7
387,24
387,1
387,35
388,35
388,2
389,25
390,24
391,3
391,15
392,13
392,3
392,16
393,2
393,0
393,15
394,2
395,8
395,2
395,14
396,12
396,6
396,23
396,2
396,11
396,18
396,8
397,5
398,1
398,30
398,2
399,2
400,32
400,2
401,14
402,5
403,15
403,3
403,38
404,35
404,17
404,24
405,12
405,2
406,5
406,8
407,22
407,33
407,17
407,31
408,37
408,32
409,28
410,2
410,26
410,11
411,21
411,14
411,5
412,2
413,16
413,37
414,2
414,29
414,32
414,9
414,20
414,14
414,10
415,25
415,21
415,2
416,4
416,16
416,35
416,15
416,5
417,2
418,0
418,15
418,2
418,11
418,13
418,27
418,20
418,36
418,19
418,23
419,6
419,24
419,9
419,21
419,3
419,17
420,19
421,20
422,19
422,13
422,11
423,6
423,15
423,21
424,2
424,0
424,1
424,20
425,39
425,13
425,12
426,20
426,21
427,2
428,2
429,5
429,2
429,7
429,20
429,27
429,3
429,13
430,2
431,6
431,17
431,14
432,17
432,16
432,4
432,8
432,11
433,26
433,13
434,4
434,12
435,0
435,2
436,6
436,8
436,5
436,15
437,19
437,22
437,14
438,2
439,3
440,22
441,1
441,9
441,15
441,13
441,18
441,32
441,2
441,19
442,2
442,1
443,5
443,6
443,16
443,4
443,20
443,3
444,18
444,16
444,37
445,18
445,22
445,27
445,20
445,16
446,19
446,34
446,21
446,5
446,2
446,10
446,27
446,3
446,14
446,22
446,7
447,0
447,26
